title,product_price,original_price,price_w_discount,url
Nippon Cricket Set with Bag (1.5-3 Years),155,360,139.50,https://snooplay.in/products/nippon-cricket-set-with-bag-1-5-3-years#MainContent
"Electronic Steering Wheel - Forward, Reverse, Parking (Sound & Light) - Assorted Colors (3-8 Years)","1,485","2,800",,https://snooplay.in/products/electronic-steering-wheel-forward-reverse-parking-sound-light-assorted-colors-3-8-years#MainContent
Small Bowling Set Box (3-10 Years),399,499,359.10,https://snooplay.in/products/small-bowling-set-box-3-10-years#MainContent
Flexible Swing Seat with Metal Triangle Hook with 2 Meters Chain Set - Blue (3-10 Years),"3,499","6,999","3,149.10",https://snooplay.in/products/flexible-swing-seat-with-metal-triangle-hook-with-2-meters-chain-set-blue-3-10-years#MainContent
Remote Controlled Resembling Defender Toy Car | 1:16 Scale (5-12 Years) | Assorted Colors,"1,399","1,499",,https://snooplay.in/products/remote-controlled-resembling-defender-toy-car-1-16-scale-5-12-years-assorted-colors#MainContent
Set of 18 Climbing Wall Holds - Multicolor (5 Years till Grown Ups),"3,899","7,999","3,509.10",https://snooplay.in/products/set-of-18-climbing-wall-holds-multicolor-5-years-till-grown-ups
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),629.10,699,566.19,https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups
"Electronic Basketball Game Set (Score Board, Moving Basket & More)","2,599","3,500",,https://snooplay.in/products/electronic-basketball-game-set-score-board-moving-basket-more
Haunted House Craft (DIY Cookie Decorating Set) | COD Not Available,MRP: 399.00,,359.10,https://snooplay.in/products/haunted-house-craft-diy-cookie-decorating-set
Air Dry Clay Creatures (Set 2) - GG,379,399,341.10,https://snooplay.in/products/air-dry-clay-creatures-set-2-ekta
Dino Soap Kit (6-8 Years),299,399,269.10,https://snooplay.in/products/dino-soap-kit-6-8-years
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),215,499,193.50,https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),"1,399","1,850","1,259.10",https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years
