title,product_price,original_price,price_w_discount,url
Sweet Cuddles Musical Cot Hanging Rattles (0-12 Months),"₹ 1,035
","MRP: ₹ 1,150
","
                              Best Price ₹ 931.50
                              ",https://snooplay.in/products/sweet-cuddles-musical-cot-hanging-rattles-0-12-months#MainContent
Wooden Domino Toy - 100 Pieces (3-7 Years),"₹ 299
","MRP: ₹ 599
","
                              Best Price ₹ 269.10
                              ",https://snooplay.in/products/wooden-domino-toy-100-pieces-3-6-years#MainContent
Set of 18 Climbing Wall Holds - Multicolor (5 Years till Grown Ups),"₹ 3,899
","MRP: ₹ 7,999
","
                              Best Price ₹ 3,509.10
                              ",https://snooplay.in/products/set-of-18-climbing-wall-holds-multicolor-5-years-till-grown-ups
Remote Controlled Bike A512 - 360 Degree Rotation & Moving Forward (5-10 Years),"₹ 2,550
","MRP: ₹ 3,100
",,https://snooplay.in/products/remote-controlled-bike-a512-360-degree-rotation-moving-forward-5-10-years#MainContent
Beyblade Toy Table Top Game,"₹ 719.10
","MRP: ₹ 1,050
","
                              Best Price ₹ 647.19
                              ",https://snooplay.in/products/beyblade-toy-table-top
Air Dry Clay Creatures (Set 2) - GG,"₹ 379
","MRP: ₹ 399
","
                              Best Price ₹ 341.10
                              ",https://snooplay.in/products/air-dry-clay-creatures-set-2-ekta
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),"₹ 215
","MRP: ₹ 499
","
                              Best Price ₹ 193.50
                              ",https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years
Haunted House Craft (DIY Cookie Decorating Set) | COD Not Available,"MRP: ₹ 399.00
",,"
                              Best Price ₹ 359.10
                              ",https://snooplay.in/products/haunted-house-craft-diy-cookie-decorating-set
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),"₹ 668
","MRP: ₹ 890
","
                              Best Price ₹ 601.20
                              ",https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),"₹ 1,399
","MRP: ₹ 1,850
","
                              Best Price ₹ 1,259.10
                              ",https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years
