title,product_price,original_price,price_w_discount,url
5 Column Geometric Shape Sorter Stacking Puzzle | 26 Pieces,449.0,799.0,404.1,https://snooplay.in/products/5-column-geometric-shape-sorter-stacking-puzzle-26-pieces
Beyblade Toy Table Top Game,719.1,1050.0,647.19,https://snooplay.in/products/beyblade-toy-table-top
Naturally Playful Picnic Table With Umbrella for Kids | COD Not Available,26999.1,29999.0,24299.19,https://snooplay.in/products/naturally-playful-picnic-table-with-umbrella-cod-not-available
Color Sorting Slide Puzzle Game for Kids | 4 Colour Sorter,649.0,1399.0,584.1,https://snooplay.in/products/slide-puzzle-brain-game-for-kids-4-colour-sorter
Remote Controlled Bike A512 - 360 Degree Rotation & Moving Forward (5-10 Years),2550.0,3100.0,,https://snooplay.in/products/remote-controlled-bike-a512-360-degree-rotation-moving-forward-5-10-years
ATM Money Machine School Bag with Finger Print Sensor | Assorted Design (3-8 Years),1250.0,2100.0,,https://snooplay.in/products/atm-money-machine-school-bag-with-finger-print-sensor-assorted-design-3-8-years
"Electronic Steering Wheel - Forward, Reverse, Parking (Sound & Light) - Assorted Colors (3-8 Years)",1485.0,2800.0,,https://snooplay.in/products/electronic-steering-wheel-forward-reverse-parking-sound-light-assorted-colors-3-8-years
Remote Controlled Resembling Defender Toy Car | 1:16 Scale (5-12 Years) | Assorted Colors,1399.0,1499.0,,https://snooplay.in/products/remote-controlled-resembling-defender-toy-car-1-16-scale-5-12-years-assorted-colors
Light House Tent with LED Light (1-7 Years),1590.0,2150.0,1431.0,https://snooplay.in/products/light-house-tent-with-led-light-1-7-years#MainContent
Set of 6 Household Play Set (3-7 Years) | Assorted Design,1575.0,1750.0,1417.5,https://snooplay.in/products/set-of-6-household-play-set-3-7-years-assorted-design#MainContent
Set of 18 Climbing Wall Holds - Multicolor (5 Years till Grown Ups),3899.0,7999.0,3509.1,https://snooplay.in/products/set-of-18-climbing-wall-holds-multicolor-5-years-till-grown-ups#MainContent
Medical Centre Suitcase - Doctor Pretend Play Set (3-7 Years),449.1,499.0,404.19,https://snooplay.in/products/medical-centre-suitcase-doctor-pretend-play-set-3-7-years#MainContent
Tool Set Suitcase Trolley Play Set (3-8 Years),1349.1,,1214.19,https://snooplay.in/products/tool-set-suitcase-trolley-play-set-3-8-years#MainContent
Little Doctor Set Suitcase Trolley (3-5 Years),1349.1,1499.0,1214.19,https://snooplay.in/products/little-doctor-set-suitcase-trolley-3-5-years#MainContent
Haunted House Craft (DIY Cookie Decorating Set) | COD Not Available,399.0,,359.1,https://snooplay.in/products/haunted-house-craft-diy-cookie-decorating-set
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),668.0,890.0,601.2,https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),215.0,499.0,193.5,https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years
Air Dry Clay Creatures (Set 2) - GG,379.0,399.0,341.1,https://snooplay.in/products/air-dry-clay-creatures-set-2-ekta
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),1399.0,1850.0,1259.1,https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years
Dino Soap Kit (6-8 Years),299.0,399.0,269.1,https://snooplay.in/products/dino-soap-kit-6-8-years
DIY Kit: Create Your Own Colorful Rope Bracelets (6-10 Years),1399.0,1850.0,1259.1,https://snooplay.in/products/diy-kit-create-your-own-colorful-rope-bracelets-6-10-years#MainContent
ATM Money Machine School Bag with Finger Print Sensor | Assorted Design (3-8 Years),1250.0,2100.0,,https://snooplay.in/products/atm-money-machine-school-bag-with-finger-print-sensor-assorted-design-3-8-years#MainContent
Dino Soap Kit (6-8 Years),299.0,399.0,269.1,https://snooplay.in/products/dino-soap-kit-6-8-years#MainContent
Spirograph Game (Create Unlimited Designs) - Art & Craft Kit (8-16 Years),668.0,890.0,601.2,https://snooplay.in/products/spirograph-game-create-unlimited-designs-art-craft-kit-8-16-years#MainContent
"Electronic Steering Wheel - Forward, Reverse, Parking (Sound & Light) - Assorted Colors (3-8 Years)",1485.0,2800.0,,https://snooplay.in/products/electronic-steering-wheel-forward-reverse-parking-sound-light-assorted-colors-3-8-years#MainContent
12 Colors Air Dry Magic Clay with Sculpting Tools - Pack of 12 (2-8 Years),215.0,499.0,193.5,https://snooplay.in/products/12-colors-air-dry-magic-clay-with-sculpting-tools-pack-of-12-2-8-years#MainContent
Remote Controlled Resembling Defender Toy Car | 1:16 Scale (5-12 Years) | Assorted Colors,1399.0,1499.0,,https://snooplay.in/products/remote-controlled-resembling-defender-toy-car-1-16-scale-5-12-years-assorted-colors#MainContent
Remote Controlled Bike A512 - 360 Degree Rotation & Moving Forward (5-10 Years),2550.0,3100.0,,https://snooplay.in/products/remote-controlled-bike-a512-360-degree-rotation-moving-forward-5-10-years#MainContent
Fizzy Chemistry Kit (6-11 Years),999.0,1499.0,899.1,https://snooplay.in/products/fizzy-chemistry-kit-6-11-years
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),629.1,699.0,566.19,https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups
Air Hockey Set - Play Anywhere (6 Years till Grown Ups),629.1,699.0,566.19,https://snooplay.in/products/air-hockey-set-play-anywhere-6-years-till-grown-ups#MainContent
Fizzy Chemistry Kit (6-11 Years),999.0,1499.0,899.1,https://snooplay.in/products/fizzy-chemistry-kit-6-11-years#MainContent
"Electronic Basketball Game Set (Score Board, Moving Basket & More)",2599.0,3500.0,,https://snooplay.in/products/electronic-basketball-game-set-score-board-moving-basket-more
Hand & Feet Twister Jumping Hopscotch Play Mat (2-10 Years),474.05,1499.0,426.65,https://snooplay.in/products/hand-feet-twister-jumping-hopscotch-play-mat-2-10-years
Nippon Cricket Ball Synthetic - Blister Packing (12 Years - Grown Ups),265.0,449.0,238.5,https://snooplay.in/products/synthetic-ball-blister
Shield Blaster Shots Projectile Launcher with 6 Darts (8 Years till Grown Ups),1862.19,3000.0,1675.98,https://snooplay.in/products/shield-blaster-shots-projectile-launcher-with-6-darts-8-years-till-grown-ups
Resembling Red BRABUS G700 New Diecast Car | 1:32 Scale (3 Years till Grown Ups),1399.0,2999.0,1259.1,https://snooplay.in/products/resembling-red-brabus-g700-new-diecast-car-1-32-scale-3-years-till-grown-ups
Monopoly Deal Card Game - Indian States | Hindi Version (6 Years till Grown Ups),269.1,299.0,,https://snooplay.in/products/monopoly-deal-card-game-indian-states-hindi-version-6-years-till-grown-ups
Ludo Game (Travel Edition) - Mini Board Game (4 Years till Grown Ups),224.1,249.0,201.69,https://snooplay.in/products/ludo-game-travel-edition-mini-board-game-4-years-till-grown-ups
